Sp,Replica,Scan,ID,Experimento,CM,Temperature,UVB
Engystomops pustulosus,1,3,1,Exp_3A,7,24.9,5
Engystomops pustulosus,1,3,2,Exp_3A,8,24.9,5
Engystomops pustulosus,1,3,3,Exp_3A,12,24.8,5
Engystomops pustulosus,1,3,4,Exp_3A,14,24.8,5
Engystomops pustulosus,1,3,5,Exp_3A,16,24.9,5
Engystomops pustulosus,1,3,6,Exp_3A,2,25.4,5
Engystomops pustulosus,1,3,7,Exp_3A,22,25.3,5
Engystomops pustulosus,1,3,8,Exp_3A,22,25.3,5
Engystomops pustulosus,1,3,9,Exp_3A,24,25.5,5
Engystomops pustulosus,1,3,10,Exp_3A,24,25.5,5
Engystomops pustulosus,1,3,11,Exp_3A,38,27,5
Engystomops pustulosus,1,3,12,Exp_3A,39,27.1,5
Engystomops pustulosus,1,3,13,Exp_3A,67,29.7,100
Engystomops pustulosus,1,3,14,Exp_3A,62,29.3,50
Engystomops pustulosus,1,3,15,Exp_3A,20,25.1,5
Engystomops pustulosus,1,3,1,Exp_3B,66,29.1,5
Engystomops pustulosus,1,3,2,Exp_3B,76,30.9,5
Engystomops pustulosus,1,3,3,Exp_3B,77,31,5
Engystomops pustulosus,1,3,4,Exp_3B,78,31.1,5
Engystomops pustulosus,1,3,5,Exp_3B,78,31.1,5
Engystomops pustulosus,1,3,6,Exp_3B,78,31.1,5
Engystomops pustulosus,1,3,7,Exp_3B,80,31.4,5
Engystomops pustulosus,1,3,8,Exp_3B,83,31.7,5
Engystomops pustulosus,1,3,9,Exp_3B,85,31.9,5
Engystomops pustulosus,1,3,10,Exp_3B,81,31.5,5
Engystomops pustulosus,1,3,11,Exp_3B,90,32.3,5
Engystomops pustulosus,1,3,12,Exp_3B,94,32.5,5
Engystomops pustulosus,1,3,13,Exp_3B,96,32.5,5
Engystomops pustulosus,1,3,14,Exp_3B,97,32.6,5
Engystomops pustulosus,1,3,15,Exp_3B,118,34.8,5
Engystomops pustulosus,1,3,1,Exp_1A,18,27.6,5
Engystomops pustulosus,1,3,2,Exp_1A,19,27.6,5
Engystomops pustulosus,1,3,3,Exp_1A,20,27.6,5
Engystomops pustulosus,1,3,4,Exp_1A,23,27.5,5
